date,temperature,dewPoint,relativeHumidity,windDirection,windSpeed,peakWindSpeed,rain,atmosphericPressureRed,atmosphericPressureStation,sun
01.01.2016 00:00:00,-1.3,-2.9,86.0,0.0,1.8,3.6,0.0,1029.3,989.8,0.0
01.01.2016 01:00:00,-1.2,-2.4,89.0,340.0,3.6,9.4,0.0,1029.0,989.5,0.0
01.01.2016 02:00:00,-1.2,-2.6,88.0,10.0,1.8,9.4,0.0,1028.8,989.3,0.0
01.01.2016 03:00:00,-1.3,-2.2,92.0,110.0,3.6,7.6,0.0,1029.0,989.5,0.0
01.01.2016 04:00:00,-1.3,-2.5,90.0,80.0,5.4,7.6,0.0,1029.1,989.6,0.0
01.01.2016 05:00:00,-1.4,-2.9,86.0,80.0,1.8,7.6,0.0,1029.1,989.6,0.0
01.01.2016 06:00:00,-1.3,-2.8,87.0,0.0,1.8,3.6,0.0,1029.3,989.8,0.0
01.01.2016 07:00:00,-1.3,-2.4,90.0,0.0,1.8,3.6,0.0,1029.6,990.1,0.0
01.01.2016 08:00:00,-1.2,-2.4,89.0,0.0,1.8,5.4,0.0,1029.8,990.3,0.0
01.01.2016 09:00:00,-0.8,-1.8,91.0,320.0,5.4,9.4,0.0,1029.9,990.5,0.0
01.01.2016 10:00:00,-0.4,-1.8,89.0,300.0,5.4,11.2,0.0,1029.8,990.4,0.0
01.01.2016 11:00:00,0.1,-1.1,90.0,240.0,9.4,13.0,0.0,1029.5,990.2,0.0
01.01.2016 12:00:00,0.7,-0.7,90.0,230.0,9.4,14.8,0.3,1029.2,990.0,0.0
01.01.2016 13:00:00,1.0,-0.4,90.0,230.0,9.4,13.0,,1028.6,989.5,0.0
01.01.2016 14:00:00,2.0,0.6,91.0,240.0,9.4,16.6,0.0,1027.9,988.9,15.0
01.01.2016 15:00:00,2.0,0.9,92.0,230.0,11.2,16.6,0.0,1027.8,988.9,19.0
01.01.2016 16:00:00,1.5,0.8,95.0,260.0,9.4,16.6,0.0,1027.9,988.9,0.0
01.01.2016 17:00:00,1.2,0.4,95.0,350.0,5.4,9.4,0.0,1027.9,988.8,0.0
01.01.2016 18:00:00,0.9,0.5,97.0,40.0,3.6,9.4,0.0,1027.7,988.6,0.0
01.01.2016 19:00:00,0.7,0.4,98.0,80.0,3.6,7.6,0.0,1027.4,988.3,0.0
01.01.2016 20:00:00,0.7,0.2,96.0,60.0,5.4,11.2,0.0,1027.2,988.1,0.0
01.01.2016 21:00:00,0.7,0.3,97.0,40.0,7.6,9.4,0.0,1026.7,987.6,0.0
01.01.2016 22:00:00,0.9,-0.1,93.0,60.0,11.2,16.6,0.0,1026.0,987.0,0.0
01.01.2016 23:00:00,0.7,-0.3,93.0,70.0,11.2,16.6,0.0,1025.4,986.4,0.0
02.01.2016 00:00:00,0.5,-0.7,91.0,50.0,18.4,22.3,0.0,1024.9,985.8,0.0
02.01.2016 01:00:00,0.6,-0.4,92.0,70.0,14.8,22.3,0.0,1023.9,984.9,0.0
02.01.2016 02:00:00,0.4,-0.5,94.0,70.0,14.8,24.1,0.0,1023.2,984.2,0.0
02.01.2016 03:00:00,0.1,-0.6,95.0,90.0,20.5,29.5,0.0,1022.8,983.8,0.0
02.01.2016 04:00:00,0.3,-0.7,92.0,90.0,20.5,31.7,0.0,1021.8,982.8,0.0
02.01.2016 05:00:00,0.4,-1.1,89.0,90.0,25.9,38.9,0.0,1021.2,982.3,0.0
02.01.2016 06:00:00,0.3,-1.3,88.0,100.0,18.4,40.7,0.0,1021.2,982.3,0.0
02.01.2016 07:00:00,0.1,-1.5,88.0,80.0,13.0,35.3,0.0,1021.2,982.2,0.0
02.01.2016 08:00:00,0.2,-2.0,84.0,70.0,16.6,24.1,0.0,1020.8,981.9,0.0
02.01.2016 09:00:00,0.6,-2.2,80.0,80.0,11.2,20.5,0.0,1020.8,981.9,0.0
02.01.2016 10:00:00,1.1,-2.0,78.0,90.0,14.8,24.1,0.0,1020.3,981.5,0.0
02.01.2016 11:00:00,1.5,-1.5,79.0,90.0,14.8,24.1,0.0,1019.7,981.0,0.0
02.01.2016 12:00:00,1.3,-1.5,80.0,110.0,18.4,31.7,0.0,1018.9,980.2,0.0
02.01.2016 13:00:00,0.8,-1.8,81.0,110.0,20.5,31.7,0.0,1018.2,979.4,0.0
02.01.2016 14:00:00,0.3,-2.0,83.0,110.0,22.3,31.7,0.0,1017.9,979.1,0.0
02.01.2016 15:00:00,-0.1,-2.4,82.0,110.0,22.3,33.5,0.0,1017.8,978.9,0.0
02.01.2016 16:00:00,-0.3,-2.6,83.0,110.0,24.1,38.9,0.0,1017.9,979.0,0.0
02.01.2016 17:00:00,-0.5,-2.7,83.0,100.0,16.6,37.1,0.0,1018.4,979.4,0.0
02.01.2016 18:00:00,-0.7,-3.0,82.0,100.0,22.3,33.5,0.0,1018.3,979.3,0.0
02.01.2016 19:00:00,-1.0,-3.1,83.0,90.0,18.4,35.3,0.0,1018.2,979.2,0.0
02.01.2016 20:00:00,-1.6,-3.5,84.0,100.0,18.4,33.5,0.0,1018.4,979.3,0.0
02.01.2016 21:00:00,-1.7,-3.7,84.0,100.0,16.6,27.7,0.0,1018.3,979.2,0.0
02.01.2016 22:00:00,-1.8,-3.8,83.0,100.0,14.8,29.5,0.0,1017.9,978.8,0.0
02.01.2016 23:00:00,-1.9,-3.9,83.0,100.0,16.6,29.5,0.0,1017.8,978.7,0.0
03.01.2016 00:00:00,-2.0,-4.2,82.0,100.0,13.0,27.7,0.0,1018.0,978.8,0.0
03.01.2016 01:00:00,-2.2,-4.2,83.0,100.0,14.8,22.3,0.0,1018.0,978.8,0.0
03.01.2016 02:00:00,-2.3,-4.2,84.0,110.0,13.0,22.3,0.0,1018.0,978.8,0.0
03.01.2016 03:00:00,-3.0,-4.2,88.0,110.0,14.8,24.1,0.0,1017.9,978.6,0.0
03.01.2016 04:00:00,-3.3,-4.5,87.0,110.0,18.4,25.9,0.0,1017.8,978.5,0.0
03.01.2016 05:00:00,-3.6,-5.1,86.0,90.0,18.4,31.7,0.0,1017.7,978.3,0.0
03.01.2016 06:00:00,-4.1,-4.7,91.0,100.0,13.0,27.7,0.0,1017.5,978.1,0.0
03.01.2016 07:00:00,-4.3,-5.1,90.0,110.0,14.8,22.3,0.0,1017.6,978.1,0.0
03.01.2016 08:00:00,-4.5,-5.2,90.0,100.0,14.8,22.3,0.0,1017.5,978.0,0.0
03.01.2016 09:00:00,-4.8,-5.4,91.0,110.0,13.0,22.3,0.0,1017.7,978.1,0.0
