date,temperature
01-07-2016 00:00,17.5
01-07-2016 01:00,16.9
01-07-2016 02:00,16.6
01-07-2016 03:00,16.9
01-07-2016 04:00,16.1
01-07-2016 05:00,16.2
01-07-2016 06:00,16.3
01-07-2016 07:00,17.1
01-07-2016 08:00,18.5
01-07-2016 09:00,20.1
01-07-2016 10:00,22.0
01-07-2016 11:00,23.3
01-07-2016 12:00,24.4
01-07-2016 13:00,25.7
01-07-2016 14:00,26.5
01-07-2016 15:00,27.6
01-07-2016 16:00,27.7
01-07-2016 17:00,28.4
01-07-2016 18:00,28.0
01-07-2016 19:00,28.1
01-07-2016 20:00,27.9
01-07-2016 21:00,25.7
01-07-2016 22:00,22.4
01-07-2016 23:00,20.6
02-07-2016 00:00,20.5
02-07-2016 01:00,19.2
02-07-2016 02:00,18.7
02-07-2016 03:00,18.2
02-07-2016 04:00,17.9
02-07-2016 05:00,18.0
02-07-2016 06:00,17.9
02-07-2016 07:00,20.2
02-07-2016 08:00,21.9
02-07-2016 09:00,21.7
02-07-2016 10:00,23.1
02-07-2016 11:00,24.9
02-07-2016 12:00,25.9
02-07-2016 13:00,26.7
02-07-2016 14:00,27.0
02-07-2016 15:00,27.5
02-07-2016 16:00,26.0
02-07-2016 17:00,24.8
02-07-2016 18:00,24.3
02-07-2016 19:00,22.8
02-07-2016 20:00,19.2
02-07-2016 21:00,18.3
02-07-2016 22:00,17.5
02-07-2016 23:00,17.2
03-07-2016 00:00,16.2
03-07-2016 01:00,15.1
03-07-2016 02:00,14.2
03-07-2016 03:00,13.8
03-07-2016 04:00,13.7
03-07-2016 05:00,13.6
03-07-2016 06:00,13.5
03-07-2016 07:00,13.9
03-07-2016 08:00,14.9
03-07-2016 09:00,16.3
03-07-2016 10:00,17.3
03-07-2016 11:00,18.4
03-07-2016 12:00,19.0
03-07-2016 13:00,18.5
03-07-2016 14:00,18.2
03-07-2016 15:00,20.1
03-07-2016 16:00,20.4
03-07-2016 17:00,20.7
03-07-2016 18:00,20.3
03-07-2016 19:00,20.9
03-07-2016 20:00,19.3
03-07-2016 21:00,18.0
03-07-2016 22:00,16.9
03-07-2016 23:00,16.7
04-07-2016 00:00,16.5
04-07-2016 01:00,16.4
04-07-2016 02:00,15.9
04-07-2016 03:00,16.0
04-07-2016 04:00,15.6
04-07-2016 05:00,15.2
04-07-2016 06:00,15.0
04-07-2016 07:00,17.2
04-07-2016 08:00,17.9
04-07-2016 09:00,18.6
04-07-2016 10:00,19.6
04-07-2016 11:00,20.5
04-07-2016 12:00,21.3
04-07-2016 13:00,21.4
04-07-2016 14:00,22.6
04-07-2016 15:00,23.3
04-07-2016 16:00,24.0
04-07-2016 17:00,24.4
04-07-2016 18:00,24.6
04-07-2016 19:00,24.1
04-07-2016 20:00,23.9
04-07-2016 21:00,21.8
04-07-2016 22:00,20.0
04-07-2016 23:00,18.1
05-07-2016 00:00,17.3
05-07-2016 01:00,15.8
05-07-2016 02:00,15.0
05-07-2016 03:00,14.4
05-07-2016 04:00,14.0
05-07-2016 05:00,13.2
05-07-2016 06:00,13.5
05-07-2016 07:00,16.6
05-07-2016 08:00,18.4
05-07-2016 09:00,19.7
05-07-2016 10:00,21.7
05-07-2016 11:00,23.2
05-07-2016 12:00,24.6
05-07-2016 13:00,25.3
05-07-2016 14:00,27.0
05-07-2016 15:00,26.7
05-07-2016 16:00,27.5
05-07-2016 17:00,27.9
05-07-2016 18:00,27.7
05-07-2016 19:00,27.2
05-07-2016 20:00,26.1
05-07-2016 21:00,23.1
05-07-2016 22:00,22.2
05-07-2016 23:00,20.9
06-07-2016 00:00,20.6
06-07-2016 01:00,20.1
06-07-2016 02:00,18.4
06-07-2016 03:00,17.1
06-07-2016 04:00,16.6
06-07-2016 05:00,16.6
06-07-2016 06:00,16.8
06-07-2016 07:00,18.3
06-07-2016 08:00,18.4
06-07-2016 09:00,18.5
06-07-2016 10:00,19.6
06-07-2016 11:00,20.8
06-07-2016 12:00,21.1
06-07-2016 13:00,21.1
06-07-2016 14:00,21.3
06-07-2016 15:00,22.5
06-07-2016 16:00,22.5
06-07-2016 17:00,22.5
06-07-2016 18:00,22.1
06-07-2016 19:00,21.7
06-07-2016 20:00,20.6
06-07-2016 21:00,17.9
06-07-2016 22:00,17.2
06-07-2016 23:00,16.6
07-07-2016 00:00,15.6
07-07-2016 01:00,15.3
07-07-2016 02:00,13.7
07-07-2016 03:00,14.2
07-07-2016 04:00,12.7
07-07-2016 05:00,13.4
07-07-2016 06:00,13.1
07-07-2016 07:00,12.6
07-07-2016 08:00,15.2
07-07-2016 09:00,16.8
07-07-2016 10:00,18.9
07-07-2016 11:00,20.9
07-07-2016 12:00,21.7
07-07-2016 13:00,22.5
07-07-2016 14:00,22.8
07-07-2016 15:00,23.6
07-07-2016 16:00,24.5
07-07-2016 17:00,24.0
07-07-2016 18:00,24.4
07-07-2016 19:00,23.9
07-07-2016 20:00,22.9
07-07-2016 21:00,20.3
07-07-2016 22:00,18.9
07-07-2016 23:00,17.1
08-07-2016 00:00,16.4
08-07-2016 01:00,14.7
08-07-2016 02:00,13.2
08-07-2016 03:00,13.2
08-07-2016 04:00,12.6
08-07-2016 05:00,11.6
08-07-2016 06:00,12.4
08-07-2016 07:00,14.8
08-07-2016 08:00,17.0
08-07-2016 09:00,19.3
08-07-2016 10:00,21.3
08-07-2016 11:00,22.9
08-07-2016 12:00,23.8
08-07-2016 13:00,24.8
08-07-2016 14:00,25.7
08-07-2016 15:00,26.6
08-07-2016 16:00,27.6
08-07-2016 17:00,27.2
08-07-2016 18:00,28.1
08-07-2016 19:00,27.3
08-07-2016 20:00,26.1
08-07-2016 21:00,24.5
08-07-2016 22:00,22.0
08-07-2016 23:00,21.0
09-07-2016 00:00,20.9
09-07-2016 01:00,19.2
09-07-2016 02:00,19.1
09-07-2016 03:00,19.3
09-07-2016 04:00,19.3
09-07-2016 05:00,19.1
09-07-2016 06:00,18.0
09-07-2016 07:00,17.6
09-07-2016 08:00,18.4
09-07-2016 09:00,18.8
09-07-2016 10:00,20.9
09-07-2016 11:00,21.7
09-07-2016 12:00,23.2
09-07-2016 13:00,24.5
09-07-2016 14:00,25.8
09-07-2016 15:00,26.8
09-07-2016 16:00,27.1
09-07-2016 17:00,26.7
09-07-2016 18:00,26.7
09-07-2016 19:00,26.4
09-07-2016 20:00,25.2
09-07-2016 21:00,24.0
09-07-2016 22:00,22.8
09-07-2016 23:00,21.1
10-07-2016 00:00,20.9
10-07-2016 01:00,19.0
10-07-2016 02:00,18.3
10-07-2016 03:00,17.1
10-07-2016 04:00,17.1
10-07-2016 05:00,16.5
10-07-2016 06:00,17.1
10-07-2016 07:00,18.5
10-07-2016 08:00,20.9
10-07-2016 09:00,22.2
10-07-2016 10:00,23.7
10-07-2016 11:00,25.1
10-07-2016 12:00,26.3
10-07-2016 13:00,27.4
10-07-2016 14:00,28.6
10-07-2016 15:00,29.8
10-07-2016 16:00,30.5
10-07-2016 17:00,30.6
10-07-2016 18:00,30.4
10-07-2016 19:00,30.3
10-07-2016 20:00,29.2
10-07-2016 21:00,26.0
10-07-2016 22:00,24.4
10-07-2016 23:00,23.8
11-07-2016 00:00,23.5
11-07-2016 01:00,21.8
11-07-2016 02:00,20.8
11-07-2016 03:00,20.0
11-07-2016 04:00,19.3
11-07-2016 05:00,18.7
11-07-2016 06:00,18.2
